371,Laguardia,Pretemporada,DF,D. Alavés
1148,Mitrovic,Pretemporada,DF,Getafe CF
574,Albiol,Pretemporada,DF,Villarreal CF
863,Negredo,Pretemporada,DC,Cádiz CF
109,Suárez,Pretemporada,DC,Atlético de Madrid
817,Alex Fernández,Pretemporada,MC,Cádiz CF
844,Badía,Pretemporada,PO,Elche CF
567,Ocampos,Pretemporada,DC,Sevilla FC
1193,Willian José,Pretemporada,DC,Real Betis
1276,Danjuma,Pretemporada,DC,Villarreal CF
264,Oyarzabal,Pretemporada,DC,Real Sociedad
243,Valverde,Pretemporada,MC,Real Madrid
311,Kondogbia,Pretemporada,MC,Atlético de Madrid
886,De Frutos,Pretemporada,MC,Levante UD
301,Gabriel Paulista,Pretemporada,DF,Valencia CF
55,Giménez,Pretemporada,DF,Atlético de Madrid
813,Lozano,Pretemporada,DC,Cádiz CF
1269,Fran Garcia,Pretemporada,DF,Rayo Vallecano
1103,Óscar Valentín,Pretemporada,MC,Rayo Vallecano
1097,Maffeo,Pretemporada,DF,RCD Mallorca
1146,Aleñá,Pretemporada,MC,Getafe CF
478,Chimy Ávila,Pretemporada,DC,C.A. Osasuna
187,Damián,Pretemporada,DF,Getafe CF
880,Vencedor,Pretemporada,MC,Athletic Club
350,Chukwueze,Pretemporada,MC,Villarreal CF
283,Sergi Gómez,Pretemporada,DF,RCD Espanyol
1275,Rafa Mir,Pretemporada,DC,Sevilla FC
1165,Alderete,Pretemporada,DF,Valencia CF
942,Budimir,Pretemporada,DC,C.A. Osasuna
1053,Puado,Pretemporada,MC,RCD Espanyol
1168,Manu Sánchez,Pretemporada,DF,C.A. Osasuna
136,Brasanac,Pretemporada,MC,C.A. Osasuna
924,Boyé,Pretemporada,DC,Elche CF
356,Gerard,Pretemporada,DC,Villarreal CF
559,Mendy,Pretemporada,DF,Real Madrid
666,Griezmann,Pretemporada,DC,Atlético de Madrid
1132,Rui Silva,Pretemporada,PO,Real Betis
541,João Félix,Pretemporada,DC,Atlético de Madrid
1306,Sergi Guardiola,Pretemporada,DC,Rayo Vallecano
944,Foyth,Pretemporada,DF,Villarreal CF
669,Fernando,Pretemporada,MC,Sevilla FC
1291,Mascarell,Pretemporada,MC,Elche CF
67,Llorente,Pretemporada,MC,Atlético de Madrid
1176,Sobrino,Pretemporada,DC,Cádiz CF
56,Savic,Pretemporada,DF,Atlético de Madrid
275,Portu,Pretemporada,DC,Getafe CF
59,Lemar,Pretemporada,MC,Atlético de Madrid
664,Alberto Moreno,Pretemporada,DF,Villarreal CF
121,Bartra,Pretemporada,DF,Real Betis
1155,Kike García,Pretemporada,DC,C.A. Osasuna
1064,Embarba,Pretemporada,DC,RCD Espanyol
1073,Baba,Pretemporada,MC,RCD Mallorca
228,Melero,Pretemporada,MC,Levante UD
922,Tete Morente,Pretemporada,MC,Elche CF
58,Koke,Pretemporada,MC,Atlético de Madrid
222,Roger,Pretemporada,DC,Levante UD
1191,Hugo Duro,Pretemporada,DC,Valencia CF
1287,Cunha,Pretemporada,DC,Atlético de Madrid
231,Carvajal,Pretemporada,DF,Real Madrid
1092,Roco,Pretemporada,DF,Elche CF
77,Yeray,Pretemporada,DF,Athletic Club
245,Lucas Vázquez,Pretemporada,MC,Real Madrid
80,Dani García,Pretemporada,MC,Athletic Club
1056,Pedrosa,Pretemporada,DF,RCD Espanyol
601,Germán,Pretemporada,DF,Granada CF
1206,Loum,Pretemporada,MC,D. Alavés
1161,Boulaye Dia,Pretemporada,DC,Villarreal CF
1346,Aubameyang,Pretemporada,DC,FC Barcelona
1295,Pezzella,Pretemporada,DF,Real Betis
691,Machís,Pretemporada,DC,Granada CF
236,Nacho,Pretemporada,DF,Real Madrid
